Thí nghiệm,F1,Recall,Precision,Threshold
XGB | learning_rate=0.01,0.745,0.7551,0.7351,0.6015
XGB | max_depth=3,0.7439,0.7211,0.7681,0.6754
RF | max_depth=15,0.7279,0.7551,0.7025,0.5406
XGB | n_estimators=200,0.726,0.7211,0.731,0.6111
XGB | learning_rate=0.05,0.7248,0.7347,0.7152,0.5196
XGB | max_depth=5,0.7248,0.7347,0.7152,0.5196
XGB | n_estimators=500,0.7248,0.7347,0.7152,0.5196
XGB | n_estimators=800,0.7163,0.6871,0.7481,0.6152
XGB | max_depth=8,0.7158,0.6939,0.7391,0.5625
RF | max_depth=None,0.7133,0.6939,0.7338,0.6012
RF | min_samples_leaf=5,0.712,0.7483,0.679,0.6286
RF | n_estimators=1000,0.712,0.7483,0.679,0.6049
RF | n_estimators=700,0.7101,0.7415,0.6813,0.6097
XGB | learning_rate=0.1,0.7047,0.7143,0.6954,0.4797
RF | n_estimators=300,0.6944,0.6803,0.7092,0.6756
RF | n_estimators=500,0.6942,0.6871,0.7014,0.6637
RF | max_depth=10,0.6942,0.6871,0.7014,0.6637
RF | min_samples_leaf=3,0.6942,0.6871,0.7014,0.6637
XGB | learning_rate=0.2,0.6939,0.6939,0.6939,0.366
RF | min_samples_leaf=1,0.6894,0.6871,0.6918,0.6208
LR | C=0.01,0.6894,0.619,0.7778,0.9028
LR | C=5.0,0.6889,0.6327,0.7561,0.9138
LR | C=1.0,0.6889,0.6327,0.7561,0.9133
LR | C=0.5,0.6844,0.6122,0.7759,0.9262
LR | C=0.1,0.6844,0.6122,0.7759,0.9258
RF | min_samples_leaf=10,0.6792,0.6122,0.7627,0.8378
RF | n_estimators=100,0.6742,0.6054,0.7607,0.7589
RF | max_depth=5,0.6667,0.619,0.7222,0.842
ET | max_depth=None,0.6538,0.5782,0.7522,0.7122
ET | max_depth=15,0.6307,0.517,0.8085,0.767
ET | n_estimators=500,0.616,0.4966,0.8111,0.8025
ET | min_samples_leaf=3,0.616,0.4966,0.8111,0.8025
ET | max_depth=10,0.616,0.4966,0.8111,0.8025
ET | min_samples_leaf=10,0.6118,0.5306,0.7222,0.7873
ET | min_samples_leaf=5,0.6104,0.517,0.7451,0.7956
ET | n_estimators=1000,0.6083,0.4966,0.7849,0.7992
ET | n_estimators=700,0.6068,0.483,0.8161,0.8022
ET | n_estimators=300,0.605,0.4898,0.7912,0.8029
ET | n_estimators=100,0.5991,0.4626,0.85,0.8214
ET | min_samples_leaf=1,0.5794,0.4966,0.6952,0.7621
ET | max_depth=5,0.5209,0.381,0.8235,0.7967
